"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Landscape Scene",,"ca1890-02-69","Made by Students","Mary Leonard Marsh/Maker","Mary Leonard Marsh (1795-1817)",1814,"Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","9 7/8""length x 7 7/8"" width","Watercolor on paper.  Depicts landscape scene--seashore, houses, harbor, boats--within oval outlined in black.  Garland of peacock feathers in black, orange, and green surround the oval.","Yes"
"Lillies",,"1978-04-4","Made by Students","Catharine Bockee Flint/Maker","Catharine Bockee Flint (1811-1843)",1828,"Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","10"" length x 8"" width","Watercolor painting of white lilies - green stem in center with leaves and four unopened buds at top.  On each side of stem near center of painting are two opened white lily blooms.","Yes"
"Litchfield Female Academy",,"ca1900-06-4","Buildings","Emily Hart/Maker","Emily Hart","ca. 1830","Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","6"" length x 8"" width","Straight-on view of the Academy from the east, showing gable end front with two pilasters each side of door, fan-light and cupola with iron cross at top.  Fence runs across the front of the building.","Yes"
"Louisa Deming","Main Image","2003-50-1","Images of People","Louisa Deming/Portrait of",,"ca. 1850-1855","New York City, NY",,"Litchfield Historical Society","oil on canvas","30 3/4"" length x 25 1/2"" width","Portrait of Louisa Deming.  Oval frame with figure in center.  The sitter has her hair up and is wearing a black dress with a sheer top (neck and shoulders) She is also wearing an oval brooch of gold an ebony.  She is dressed as if in mourning and it is speculated that this portrait was done around the time of her sister Charlotte's death in 1849.  To the sitter's right is a non descript pastral scene of a setting sun and body of water.","Yes"
"Lucretia Deming","Main Image","1939-03-5","Images of People","Lucretia Deming/Portrait of","Anson Dickinson (1779-1852)","ca. 1825","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 9/16"" length x 2 7/8""width","Bust portrait of Lucretia Deming wearing black dress with high waist, puff sleeves, lace collar with ruffle.  Brown hair in ringlets, brown eyes.  Blue background. Plain red leather album case with 2 hooks.  White silk lining, velvet binder.","Yes"
"Lucretia Deming",,"1941-01-1","Images of People","Lucretia Deming/Portrait of","Charles Osgood (1809-1890)",1856,"Salem, MA",,"Litchfield Historical Society","oil on canvas","38 3/4"" length x 33"" width","Oil on canvas 1/2 length oval portrait of Lucretia Deming when an older woman.  She is seated in a chair with her body turned to the right.  She has brown eyes and brown hair  parted in the middle, with a white lace bonnet with side pieces decorated with feathers and artificial flowers.  She is wearing a dark dress with white lace collar, a gold and sea pearl hair brooch at her neck.  Painting has overall dark background. ","Yes"
"Lucretia Deming",,"1950-01-111","Images of People","Lucretia Deming/Portrait of","Thomas Hanford Wentworth (1781-1849)","ca. 1820","Hartford, CT",,"Litchfield Historical Society","pencil on paper",,"Pencil sketch of Lucretia Deming.  She wears Empire style dress with ruffled collar.  Hair pulled up with large curved comb.  Framed in simple gold wood frame.  Eglomise decoration on underside of glass, black with gold accents.","Yes"
"Lucy Woodruff Seymour","Main Image","1918-06-3","Images of People","Lucy Woodruff Seymour/Portrait of",,"ca. 1870","Litchfield, CT",,"Litchfield Historical Society","oil on cardboard","20 1/2"" length x 17 1/2"" width","Oil on cardboard portrait of Lucy Morris Woodruff Seymour (1807-1894). Rectangular painting set within an ornate gilt rectangular frame with oval opening.  A bust portrait of an older woman, facing left. Wavy gray hair with lace cap, brown eyes, wearing a black dress with white fichu and brown oval pin at throat.  The image was created by painting over a photograph.","Yes"
"Lucy Sheldon Beach",,"1939-04-1","Images of People","Lucy Sheldon Beach/Portrait of",,"ca. 1875","Litchfield, CT",,"Litchfield Historical Society","oil on canvas","29 1/2"" length x 23 1/2""  width","Oil on canvas 3/4 length portrait of Lucy Sheldon Beach.  She is depicted as a middle age woman and seated facing left in a red upholstered chair.  She has brown hair parted in the middle and brown eyes.  She is wearing white lace cap with long ties, a striped black dress, white lace collar and cuffs, and oval silver wire rim glasses. Gray background.","Yes"
"Lucy Sheldon Beach","Main Image","2004-09-4","Images of People","Lucy Sheldon Beach/Portrait of","Anson Dickinson (1779-1852)",1831,"Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","5"" length x 6"" width","Watercolor on ivory, young girl, brown hair pulled up with ringlet curls at sides of temples, green eyes.  Black dress with full sleeves.  White puffy collar around neck. Coral colored wrap around arms.  Framed under glass.  Gold frame with brown velvet border","Yes"
"Malvina",,"1924-02-5","Made by Students","Susan Masters Blackman/Maker","Susan Masters Blackman (1793-1849)","October 15, 1808","Litchfield, CT",,"Litchfield Historical Society","Silk threads on silk with pencil, pastel","22 1/2"" length x 23"" width","Needlework embroidery of female figure standing on hill, leaning on a harp.  She wears a loose-flowing garment, 3/4-length sleeves.  Based on character from Poems of Ossian.  The body of the embroidery is done in a circle on white silk.  Around the outside of the circle are swags of leaves and flowers in golds and greens with a large flower at the center top of the embroidery picture.  Framed under glass with eglomise or reverse painting on glass of black and gold border.  Printed in gold lettering along bottom ""October 15, 1808"" and ""Malvina""","Yes"
"Map of Delaware",,"1950-01-90a","Made by Students","Lucretia Deming/Maker","Lucretia Deming (1804-1887)",1825,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","15 3/4"" length x 10"" width","Map of the state of Delaware.  Ink and watercolor on paper.  Counties of state are outlined in yellow and red watercolor.  Cities and waterways are labeled in ink.  Framed under glass. ","Yes"
"Map of Deming Orchard",,"1950-01-7","Made by Students","Clarissa Deming Perkins/Maker","Clarissa Deming Perkins (1795-1837)","ca. 1805-1810","Litchfield, CT",,"Litchfield Historical Society","watercolor and pencil on paper","22 1/4"" length x 16"" width","Paper, pen and watercolor map of Julius Deming's orchard        Depicts rudimentary barn with gates and fence in upper left corner.  The rest of the map has drawings of fruit trees with   numbers and the names written in pencil.   There is a legend at the bottom in 7 columns.   ","Yes"
"Map of Europe",,"1950-01-90c","Made by Students","Lucretia Deming/Maker","Lucretia Deming (1804-1887)",1825,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","15"" length x 15 1/4"" width","Hand drawn and watercolor map of Europe in 1825.  Map is bisected with ink lines of longitude and latitude.  Countries are outlined in different shades of watercolor.  Names of countries written in ink.  Framed under glass","Yes"
"Map of New Jersey",,"1950-01-90e","Made by Students","Lucretia Deming/Maker","Lucretia Deming (1804-1887)",1825,"Litchfield, CT",,"Litchfield Historical Society","ink on paper","6 1/4"" length x 9"" width","Map of New Jersey in ink on paper.  Shows borders of state with Pennsylvania and Delaware.  Cities are written in ink.  Dashed border around map.  Framed under glass","Yes"
"Map of South America",,"1950-01-90d","Made by Students","Lucretia Deming/Maker","Lucretia Deming (1804-1887)",1825,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","9 3/4"" length x 11"" width","Map of South America in 1825.  Continent drawn on paper in ink with bisecting ink lines of latitude and longitude.  Countries of continent outlined in different colors of watercolor paint.  Major cities and waterways labeled in ink.","Yes"
"Map of the United States",,"LBW Map of US","Made by Students","Lewis Bartholomew Woodruff/Maker","Lewis Bartholomew Woodruff (1809-1875)",1820,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper",,,
"Map of the United States",,"1950-01-90b","Made by Students","Lucretia Deming/Maker","Lucretia Deming (1804-1887)",1825,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","13 1/2"" length x 11 1/4"" width","Map of the United States in 1825.  Depicts the eastern side of the country.  Lines of lattitude and longitude drawn in ink.  States are outlined in various shapes of watercolor paint.  Important cities and waterways labeled in ink.  Framed under glass","Yes"
"Marian R. Lewis","Main Image","1911-07-3A","Images of People","Marian R. Lewis/Portrait of","Thomas Hanford Wentworth (1781-1849)",1822,"Hartford, CT",,"Litchfield Historical Society","pencil on paper"," 6 5/8"" length x 5 5/8"" width","Profile drawing of young woman facing right.  Hair in bun with tortoise shell comb on top, hair curled at side with small comb.  Double ruffle collar and empire waist dark colored dress.   Original gold frame with applied spirals.","Yes"
"Mary Ann Wolcott Whitehead","Main Image","2008-08-2","Images of People","Mary Ann Wolcott Whitehead/Portrait of","Anson Dickinson (1779-1852)","November 17, 1831","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory"," 3 1/2"" length x 2 7/8""width","Portrait miniature - unframed.  Thin sheet of ivory.  Watercolor of young woman from waist up.  Brown curly hair piled on top of her head.  Light brownish/green eyes, sloped shoulders.  Black dress, wide neckline, rushing across chest, large puffed sleeves, cinched at waist.  Red shawl.
Piece of cardstock glued to back of miniature, torn on one side.","Yes"
"Mary Deming","Main Image","1923-04-2","Images of People","Mary Deming/Portrait of","Thomas Hanford Wentworth (1781-1849)",1822,"Hartford, CT",,"Litchfield Historical Society","pencil on paper","4 1/4"" length x 5 3/8"" width","Pencil drawing of Lucretia Deming.  Profile of young girl, facing left.  Hair curled in bun with pins and tortoise shell comb.  Double lace edged ruffle and empire waist dress with bow in back and ruffle on sleeve.  Eglomise painting on glass. Image is framed in oval.  Gilt wooden frame.  ","Yes"
"Mary Perry Chapman","Main Image","1966-02-2","Images of People","Mary Perry Chapman/Portrait of","Anthony or Nina Meucci",1824,,,"Litchfield Historical Society","watercolor on ivory","4 5/8"" length x 5 1/2"" width","Watercolor on ivory, oval shaped miniature. Woman faces front left.  Wears fancy loose cap that ties under the chin.  Also small mull fichu over high scooped neckline, high belted black dress that buttons down the front.  Has parted brown hair with side curls, blue eyes.  Maroon background.","Yes"
"Maryann Bacon Whittlesey","Main Image","1911-07-3B","Images of People","Maryann Bacon Whittlesey/Portrait of",,"ca. 1820","Saratoga, NY",,"Litchfield Historical Society","pencil on paper","5 3/4"" length x 6 7/8"" width","Young woman facing left.  Hair with front Greek curls, back pulled to bun with tortoise shell comb.  Lace, eyes, comb, and lips colored.  Dress has high ruffled neck, lace over shoulders and neck.  Low-cut empire style with tie bows in back.  Frame is concave black wood, glass is reverse painted black and gold to form oval.","Yes"
"Mechanical Views of the Facilities of the Soul",,"1975-100-235","Made by Students","Betsey Clark/Maker","Betsey Clark (1786- ) ","ca. 1800","Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper"," 26"" length x 21 3/4"" width","Depicts the qualities that make up the soul, with ""Soul"" at center top; ""Heart"" and ""Mind"" in smaller circles to the right and left of that, and beneath these, the qualities that make up the heart and mind.  In yellow, blue, red, green watercolor, with black ink inscriptions.  Green garlands at top, beneath ""Soul,"" ""Heart,"" and ""Mind.""  At the bottom center of drawing ""Drawn by/Betsey Clark/Litchfield Academy in the year 1800/Age 14 years""  Drawing is framed under glass.","Yes"
"Merit Wins the Prize",,"2004-09-2","Made by Students","Charlotte Sheldon/Maker","Charlotte Sheldon ( - 1840)",1802,"Litchfield, CT",,"Litchfield Historical Society","watercolor, silk and lace on silk","17"" length x 17 1/2"" width","Embroidery entitled ""Merit Wins the Prize"" Silk ground with small watercolor image in center of girl holding a book and pointing to a globe.  Image surrounded by embroidered swags and floral design.  Underneath image in block lettering with gold metallic thread ""Merit Wins the Prize"" Large floral border around edge of piece.  Black lace attached to silk around edge creating another border or decorative mat.  Wood frame painted gold.  Gold on gold design on frame of lines and boxes.","Yes"
"Minerva Leading the Neophyte to the Temple of Learning",,"1949-04-1","Made by Students","Lucretia Champion Bacon/Maker","Lucretia Champion Bacon  (1783-1882)",1799,"Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","12 3/4""length x 14"" width","Picture depicts Minerva and the Neophyte with temple in background.  Right portion of the composition shows a very solid brown trunked tree with foliage rendered in pointilliste technique.  Figures to left of tree are clothed in drapery which has some three dimensional quality but anatomical and facial features are distorted and flat in execution.  Minerva, at right, wear a plumed helmet over her black hair and a cuirasse and chain mail apron over a flowing white robe and a gold cape.  Neophyte is dressed in virginal white and leads an anemic looking sheep on a pink ribbon towards the Temple which is perched on jagged rocaille and approached by a serpentine path.  The building seems to be a melange of architectural styles rendered in blue and white.  Framed under glass. ","Yes"
"Mourning Miniature",,"1926-01-2","Other","Clarissa Champion/Subject",,1801,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on ivory, gold case","3 1/4"" length x 2 1/2"" width","Mourning miniature. Oval image, ink and watercolor on ivory.    Scene of woman in white dress in mourning pose over tombstone, with weeping willow to the left, willow branches are accentuated with woven hair. Tombstone inscribed: ""Sacred to the/MEMORY/of Miss/Clarrisa Champion/OB October 22/1801/AE 16 YEARS 7/months 22 days.""  Urn on top of tombstone with initial ""C.C."" on front.  Encased in rose gold frame, opening in back with glass bezel, containing lock of hair, leather case.","Yes"
"Mourning Watercolor",,"1943-01-0","Made by Students","Elizabeth Catlin Cooke/Maker","Elizabeth Catlin Cooke (1799-1893)","ca. 1811-1815","Litchfield, CT",,"Litchfield Historical Society","watercolor on silk","33 3/4"" length x 35"" width","Watercolor on silk mourning picture.  The scene show six figures dressed in deep mourning.  Two stand at right of single obelisk on the left side of the picture and the others flank double obelisk on the right.  In the right and left foreground are rows fo five stiff pine trees and over the tombstones are weeping willows.  A river or pond with houses on the far shore divides the picture.  The sky is rendered with blue wash at the top shading to pink above the horizon.  Over this are pale suggestions of clouds in transparent white.  Stone on the left inscrived ""In memory of a sister/Achsah Catlin/obt. April 24 1810 A E 17 years/Fair was the flower and soft the vernal sky/Elate with hope we deemed no tempest nigh/When low a whirlwind's tempestuous gust/Laid all its beauties withering/in the dust""  Left of center stone ""In Memory of a Mother/Elizabeth Catlin/obt. Aug. 25, 1810 A.E. 45 years/Ere long your bodies must be found/like mind beneath the silent ground/Weep not for me refrain your tears/I must be here till Christ appears""  Right of center stone ""In memory of/Truman Catlin/Lost at sea Nov.   /A.E. 34 years/No marble stone (illegible)/No weeping (illegible )/ No Turning (illegible) as from/Can form a (illegible) his/(illegible) there""  Frame is a wood cove molding with moulded liner applied rope molding insert and leaf decoration at intervals on outer edge.  The wood has been treated with gesso and gold leaf applied over all.  Eglomise decoration around outside edge of glass.  ""Betsey Catlin""  written in gold leaf on reverse side of glass at bottom.  ","Yes"
"Mourning Watercolor",,"ca1900-09-1","Made by Students","Amelia Lewis Peck/Maker","Amelia Lewis Peck (1810-1893)","1826-1830","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","20 1/2"" length x 15 1/4"" width","Typical mourning scene involving mother, father, 4 daughters standing around a large tombstone in a cemetery.  Large weeping willow.  In background is a river with a four-arched bridge and a city with two church towers.","Yes"
"Noah Webster","Main Image","1963-02-5","Images of People","Noah Webster/Portrait of","William Verstille (1757-1803)","February 12, 1788","Wethersfield, CT",,"Litchfield Historical Society","watercolor on ivory","1 7/8"" length x 1 1/2"" width","Oval, gold band frame with bright-cut under glass; solid gold back with ring at top for wearing on chain; vertical hinged pin and clasp for wearing as a brooch.  Full face of man with square face, blue eyes, high forehead, dressed wig.  Subject wears dark blue, high collared coat, white jabot, neckcloth, and dark blue waistcoat.","Yes"
"Oliver Stoughton Wolcott","Main Image","2006-05-1","Images of People","Oliver Stoughton Wolcott/Portrait of",,"ca. 1820","New York City, NY",,"Litchfield Historical Society","oil on canvas","35"" length x 30 1/2"" width","Head and upper torso image of Oliver S. Wolcott.  Young man (probably in his 20s) wearing white cravat with black double breasted jacket.  Seated sideways in chair with arm bent over arm rest.  Greek pillar behind his right shoulder.  Background brownish color.","Yes"
"Oliver Wolcott, Jr. ",,"1963-02-3","Images of People","Oliver Wolcott, Jr./Portrait of; George Catlin/Maker","George Catlin (1796-1872)",1827,"Albany, NY",,"Litchfield Historical Society","oil on canvas","30 1/2"" length x 35 3/4"" width","Oil on canvas portrait of Oliver Wolcott, Jr.   1/4 length bust portrait of a elderly man facing to the right, receding gray hairline with blue eyes. Wearing black coat and white shirt and cravat.  Right background a column and red drapery.  Painted by George Catlin (1796-1872) at the Hotel Ithaca in Albany, NY.  ","Yes"
"Oliver Wolcott, Jr. ","Main Image","1984-12-0","Images of People","Oliver Wolcott, Jr./Portrait of","Gilbert Stuart (1755-1828)",1813,"New York City, NY",,"Litchfield Historical Society","oil on board","35"" length x 30"" width","Oil on mahogany,  1/4 length portrait of Oliver Wolcott, Jr. facing left, wearing a dark coat, brass buttons, white shirt and ruffled stock, blue eyes, brown with white receding hairline, in a peak atop head in front.  Heavy gilt gesso frame of anthemion leaves, egg and dart inner border and deeply curved concave side.","Yes"
"Origen Storrs Seymour","Main Image","1918-06-1","Images of People","Origen Storrs Seymour/Portrait of",,"ca. 1870","Litchfield, CT",,"Litchfield Historical Society","oil on cardboard","20 1/2"" length x 17 1/2"" width","Oil on cardboard portrait of Origen Storrs Seymour (1804-1881). Rectangular painting set within an ornate gilt rectangular frame with oval opening.  A bust portrait of an older man, facing left. Short gray hair with widow's peak, gray eyes, wearing a black jacket with white high collar and black tie. The image was created by painting over a photograph.","Yes"
"Philo Ruggles","Main Image","1917-04-6","Images of People","Philo Ruggles/Portrait of","Ralph Earl (1751-1801)",1796,"New Milford, CT",,"Litchfield Historical Society","oil on canvas","52 1/2"" length x 39 3/16"" width","Oil on canvas portrait of Philo Ruggles (1765-1829) as a young man, seated in exterior setting with water and rolling valley in background.  Dressed in brown jacket, yellow vest and black  breeches.  He is holding a flute in his right hand.  Signed lower left, ""R. earl Pinxt 1796""  Retains its original frame.  The painting was completed in New Milford, CT.","Yes"
"Pointing the Neophyte Toward the City of Knowledge",,"1919-26-0","Made by Students","Lucretia Champion Bacon/Maker",,"ca 1800-1810","Litchfield, CT",,"Litchfield Historical Society","silk, linen and watercolor on silk ","16 1/4"" length x 15 3/8"" width","Silk embroidery picture depicting Pallas Athena and the Neophyte with Temple in background.  Features of faces, sky, and hair are painted in tempera.  The figures stand on a ribbed satin stitch greensward which is worked in ombre hands shading from teal green at bottom to ivory on the mount approaching the Temple.  The foliage masses of the two trees to the left and right are also shaded in this manner with the darker colors in the center.  The flowing robes of both figures are also worked in ribs while the Temple and rocaille elements are in simple satin stitch.  The lamb who looks out with interest at the beholder has a chenille body with face and legs in satin stitch.  Framed under glass.  It is attributed to Lucretia Champion.  ","Yes"
"Quilt",,"1970-02-1","Made by Students","Jerusha Clark Peck/Owner","Students of the Litchfield Female Academy",1818,"Litchfield, CT",,"Litchfield Historical Society","cotton","84"" length x 83"" width","Appliqued quilt with Whig Rose design at center and Rosebud design border on white cotton ground.  Large repeats of red and white flowers surrounded with leaves and each with four angular brances pin wheeling around.  The patterns are printed calicoes - predominately green, then red and lastly a white one with yellow design.  The calicoes were cut out and appliqued to the ground, then cotton batten and backing of cotton, quilted all over in simple design.","Yes"
"Sampler",,"1914-15-34","Made by Students","Harriet Lucretia Grant/Maker","Harriet Lucretia Grant (1814-1892)","ca. 1825","Litchfield, CT",,"Litchfield Historical Society","silk on linen","16 1/2"" length x 15"" width","orse brown linen ground with green, black, turquoise, and brown thread.  Two series of alphabets.  Stitched underneath ""

Charles Grant born April 25th 1782
Hannah McNeil born July 8th 1785
and were married June 12th 1809
Charles W. Grant bon April 28th 1810
David M. Grant born August 11th 1812
Harriet L. Grant born Septbr 9th 1814
John M Grant bron June 14th 1817

Another alphabet stitched underneath the above family registry.  Under this alphabet is stitched:

What that charm the eye
Soon must these colours fade and die
But lo the immortal mind must live
And the dread wreck of time survive

Followed by the initials ""HLG"" 
Added to the right side of the poem in black thread ""Charles Grant/died March 10th 1821/aged 38/years""","Yes"
"Sampler",,"1929-01-3","Made by Students","Anna Thompson/Maker","Anna Thompson (1814-1894)","December 4, 1823","Litchfield, CT",,"Litchfield Historical Society","linen, silk","18"" length x 15 1/2"" width","Sampler with alphabet and Ten Commandments.  Stitched ""Anna P. Thompson wrought this Sampler Dec 4th 1823 Aged 9 Years""  Below is house with trees on either side, blue and yellow predominate.","Yes"
"Sampler",,"1975-04-2","Made by Students","Jane Radcliffe Joy/Maker","Jane Radcliffe Joy (1811-1901)",1822,"Litchfield, CT",,"Litchfield Historical Society","linen, silk","17 1/2"" length x 16 1/2"" width","Framed sampler, natural linen canvas with green cross-stitch sentiments and designs, blue thread Greek key border,  several sets of the alphabets and numbers.  Family register of the Radcliffe family from 1777 to 1822, Signed ""Jane Ellen Radcliffe 10th year of her age 1822.""","Yes"
"Sampler",,"1987-02-0","Made by Students","Sarah Perry Gates/Maker","Sarah Perry Gates (1793-1856)",1822,"Litchfield, CT",,"Litchfield Historical Society","silk on linen","16 1/4"" length x 13"" width","Linen thread sampler with bound edges, scalloped border in beige thread, with large cross stich alphabet (A-R) on top line, S-Z and block 2-9 on second line, a-y on third line, A_M in upper case script then A in beiges and blue thread with lines of different stitches between.  Then eagle with black cross stitch body outlined in beige, blue, pink, yellow and brown wings.  Then green extended octogon with floral flanking vines - inside octogon ""Sarah Perry/Miss Pierces/Litchfield 1822"" in pink cross stitch.","Yes"
"Sampler",,"1992-18-2","Made by Students","Catherine Ely McKinney/Maker","Catherine Ely McKinney (1803-1873)","July 24, 1811","Litchfield, CT",,"Litchfield Historical Society","silk on linen","12 5/8"" length x 11 1/2"" width","Off white and yellowish cotton stitching on brownish green linsey woolsey background.  Sampler lists alphabet in both upper and lower cases and numbers 1 to 10.  Printed twice in a row.  ""Catherine B. Ely aged/8 years Litchfield July 24th 1811/Jesus permit thy name to stand/As the first effort of an infants hand/And while her fingers over this canvas more/Engage her tender heart to seek thy love/with thy dear children let her share a part/And write thy name thyself upon her heart"" Wood frame painted gold","Yes"
"Sarah Pierce","Main Image","1941-02-2","Images of People","Sarah Pierce/Portrait of","Attributed to George Catlin (1796-1872)","ca. 1825","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 1/2"" length x 2 7/8"" width","Watercolor miniature of Sarah Pierce.  Waist-length, seated in a round back chair and facing slightly right.  She wears a black dress with a stand-up collar, and puffed sleeves.  Red shawl around lower left arm.  Muslin cap with ruffle and hair arranged in ringlets around face.  ",
"Seth Preston Beers",,"1907-16-1","Images of People","Seth Preston Beers/Portrait of",,"ca. 1830","Litchfield, CT or Hartford, CT",,"Litchfield Historical Society","oil on canvas","46 1/4"" lenth x 39 1/2"" width","Oil on canvas portrait of Seth Preston Beers (1781-1863), Rectangular 1/2 length portrait of a portly middle aged man, seated, facing left.  Black hair and hazel eyes, dressed in black suit, white shirt and collar, black bow tie.  His right arm rests on a table holding a pamphlet and in his right hand a quill pen.","Yes"
"Seth Preston Beers","Main Image","1975-04-4","Images of People","Seth Preston Beers/Portrait of","Anson Dickinson (1779-1852)","1835 or 1837","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3"" length X 2 1/2"" width","Rectangular ivory portrait miniature.  Bust length portrait of Seth Preston Beers.  He has thinning brown hair and blue eyes.  He wears a black coat, tie and vest and a white high collared shirt.  Pink pastel background.  Framed with grey mat.","Yes"
"Sewing Box",,"1999-10-1","Household Accessories","Laura Wolcott Rankin/Owner",,"ca. 1830","China",,"Litchfield Historical Society","wood, brass, gesso, lacquer, gilt, ivory","10 1/2"" length x 14"" width x 5 1/2"" height","Neo-classical gold and black lacquer decorated ladies work or sewing box.  Lift top covers removable fitted tray compartment with numerous sections containing carved ivory sewing implements.  Single long drawer below contains areas for holding quill pens and ink bottles - serves as  a writing desk (Lockable).  Case supported on brass claw feet.  Box lacquered and decorated with chinoiserie gilt motifs.","Yes"
"Side Chair",,"ca1890-02-13","Furniture","Sarah Pierce/Owner",,"ca. 1810","Litchfield, CT",,"Litchfield Historical Society","wood, paint","34.5"" height x 16"" width x 17.75"" length","Black painted wooden chair with rush seat.  Sheraton style, with bowfront rails and double round side stretchers.  Curved top and bottom rails.  Painted decoration, gilt, on front, back, and on front stretcher.","Yes"
"Side Chairs",,"2003-50-7 a-c","Furniture","Julius Deming/Owner",,"ca. 1790-1810","New York City, NY",,"Litchfield Historical Society","mahogany","39"" height x 22"" width","Three Sheraton style shield back side chairs.  Upholstered seat in light blue velvet - not original.  Upholstered tacked down on side with brass tacks.  Shield shaped splat with Prince of Whales feather motif surmounting swags, 1/4 rosette at base of shield.  Square tapered legs with spade feet.  Plain rear legs.","Yes"
"Sideboard",,"1929-02-14","Furniture","Tapping Reeve/Owner","Silas Cheney (1776-1821)",1800,"Litchfield, CT",,"Litchfield Historical Society","Mahogany, tulip, pine and cherry woods, brass","41 1/2"" height x 74"" length x 28 1/2"" width","Sideboard, mahogany and mahogany veneer with tulip wood inlays, pine and cherry secondary woods.  Serpentine front divided into three sections, each side section with three graduated drawers, either side of a central section with recessed locking two-door cabinet below one long drawer.  All on six legs. Bellflower, reed, line, paterae and qautrefoil inlay patterns.  The sideboard was made for Tapping Reeve by Silas Cheney in 1800 for a cost of 20 pounds.  ","Yes"
"Charles Perkins",,"1921-02-6","Images of People","Charles Perkins/Portrait of",,"ca. 1820","Litchfield, CT",,"Litchfield Historical Society","paper","5 1/2"" length x 4 1/2"" width","White paper cut-out mounted on black paper of a young man facing left. ","Yes"
"Sugar Bowl",,"1911-20-2","Household Accessories","Elizabeth Canfield Tallmadge/Owner","Wedgewood","ca. 1830",,,"Litchfield Historical Society","jasperware","3 1/2""high x 5 1/2""wide","Sugar bowl, round form with lid.  White body with dark blue slip and applied white classical decoration of Eros and green maidens. White handles on each side.  Lid has raised decoration in white around exterior rim.","Yes"
"Tapping Reeve","Main Image",,"Images of People","Tapping Reeve/Portrait of",,"ca.1820",,,"Litchfield Historical Society","Lithograph",,,
"The Cottage Girl",,"1989-01-1","Made by Students","Cyrinthia Sacretia Smith/Maker","Cyrinthia Sacretia Smith (1788-1864)",1802,"Litchfield, CT",,"Litchfield Historical Society","silk and watercolor on silk","21 1/2"" length x 18"" width","Picture depicts a girl holding a large bundle of sticks in her left hand, a basket in her right.  She is shoeless, with a simple dress and shawl.  Large trees behind girl on her right, house with fence on her left.  Outside of oval, at top of piece floral garland from left to right.  At bottom left to right corners cornucopia containing grapes, strawberries and wheat.  Colors of pictures are brown, greens, beiges with reds and blues. 
Frame is gilt with bead work around interior.  Glass covereing piece is painted black and gold with ""The Cottage Girl"" inscribed at the base.","Yes"
"The Sailor Boy",,"1980-33-1","Made by Students","Lucy Sheldon Beach/Maker","Lucy Sheldon Beach (1788-1889)",1802,"Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","10 3/8"" length x 14 1/2"" width","Watercolor on paper.  Scene of a family gathered before the doorway of their thatched cottage, the open door of which is at left.  The rocky shore with the shipwreck impaled upon a cliff can be glimpsed in the background between the cottage and a large oak tree to the right.  The group includes, from left to right, grandmother seated in a rustic slat back chair in front of a crude table on which sits a small kitten; father in a blue smock and black hat and holding a pipe, standing in the doorway; mother with a small girl clinging to her skirts and wearing a striped fichu and aporn with a muslin cap on her curly hair.  Central figures are a young boy and the sailor boy who looks much the worse for wear and not at all animated in the telling of his story.  He wears a much bedraggled cabin boy's uniform of dark coat and light trousers.  Two gray chickens are also present in the foreground but seem disinterested in the event.  Framed - probably original - under glass.","Yes"
"Theorn Beach",,"2004-09-6","Images of People","Theron Beach/Portrait of","Anson Dickinson (1779-1852)",1834,"Litchfield, CT or Goshen, CT",,"Litchfield Historical Society","watercolor on ivory",,"Portrait miniature of Theron Beach.  Older, slightly balding white male facing right.  Wears black suit with high collar and black cravat.
","Yes"
"Therom Painting",,"1978-04-1","Made by Students","Catharine Bockee Flint/Maker","Catharine Bockee Flint (1811-1843)",1828,"Litchfield, CT",,"Litchfield Historical Society","watercolor on velvet","4 3/4"" length x 5 3/4"" width","Roughly cut square of white velvet with watercolor of pink moss roses and blue morning glories. Flowers are both in bloom and bud form with green leaves behind them.  Framed under glass -white mat board, simple black frame.","Yes"
"Theron Beach","Main Image","2004-09-5","Images of People","Theron Beach/Portrait of","Anson Dickinson (1779-1852)",1829,"Litchfield, CT or Goshen, CT",,"Litchfield Historical Society","watercolor on ivory","4 3/4"" length x 6"" width","Watercolor on ivory of older man with salt and pepper colored hair, brown eyes.  White shirt with white cravet and black double breasted jacket.  Background cream.  Miniature oval in shape.  Under glass with gold border.  Framed in oval gold frame with green velvet border.","Yes"
