id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
738,Louisa Bird Cunningham,,,F,,,GA,United States,,,,,,,,,,,,,,,,,,,,,,,,
739,Patrick Cummingham,,,M,,,,,1769,1796,,,,,,,,,,,,,,,Political Office,,,,,,,
740,Medad Curtiss,,,M,,Norfolk,CT,United States,"June 25, 1769","April 1, 1834",,"Litchfield County, CT in 1797",After his marriage he read the law in the office of Judge Pettibone.,,,"Medad Curtiss was the grandson of Zeubelon Curtiss of Farmington, CT and the son of Thomas Curtiss and Martha Cowles of Farmington. His father died in the Revolutionary War and his mother remarried Richard Lewis. After attending the Litchfield Law School, Medad read the law with Augustus Pettibone of Norfolk, CT who had also attended the Litchfield Law School in 1788. He married Lucy Lawrence, the daughter of Ariel and Lucy (Wilcox) Lawrence of Norfolk. Lucy's sister, Susannah married Augustus Pettibone. Around 1795, Medad and his wife moved to Onondaga, NY where he practiced law and served as a Justice of the Peace and as the Indian Agent for the Onondaga Tribe. The tribe adopted Medad and gave him the name 'Wa Wa Winsooki' meaning 'one who helps.' He was known as an honest lawyer and was said to never have taken a case unless it was a just one. He died in Onondaga or Attica, NY. His widow, who had studied law with him, was said to have attended to her own legal affairs after his death. He and his wife had five sons and three daughters.","'Rules of the Debating Society of Law Students in Mr. Reeve's Office,' LHS",,"Cowles, Col. Calvin Duval, comp. Genealogy of the Cowles Families in America, vol. 1. New Haven, CT: Tuttle Morehouse & Taylor Co., 1929. ",,,,,,Lawyer;Political Office,Onondaga/NY/United States,"Local/Justice of the Peace//Onondaga, NY","Lucy Lawrence Curtis/October 12, 1789",1789,,,
741,Lucy Lawrence Curtis,,,F,,Norfolk,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
742,Thomas Curtiss,,,M,,,,,1739,,,,,,,,,,,,,,,,,,,,,,,
743,Martha Cowles Curtiss,,,F,,,,,"November 24, 1741",,,,,,,,,,,,,,,,,,,,,,,
744,Charles Chaplin Cushman,,,M,,Guildhall,VT,United States,1804,"November 25, 1849",Entered West Point Academy in 1823 but resigned three years later.,"Bangor, ME in 1832",,,,"Charles Chaplin Cushman was the son of General Seth and Mehitable (Chaplin) Cushman. He entered West Point in 1823 but resigned three years later. After attending the Litchfield Law School, Charles was admitted to the bar in Bangor, ME in 1832. He and his wife later moved to Wisconsin and Charles died in Milwaukee. ","Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1848), 22. ",,"Cushman, Henry Wyles. Historical and Biographical Genealogy of the Cushmans. Boston: Little, Brown, and Company, 1855. ",,,,,,Lawyer,Bangor/ME/United States;/WI/United States,,"Hannah Sleeper Cushman/September 18, 1833",1828,,,
745,Hannah Sleeper Cushman,,,F,,Belfast,ME,United States,,,,,,,,,,,,,,,,,,,,,,,,
746,Seth John Cushman,,,M,,,,,,1845,,,,,,,,,,,,,,,Military,,,,,,,
747,Mehitable Chapman Cushman,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,John Paine Cushman,,,M,,Pomfret,CT,United States,"March 8, 1784","September 16, 1848","In preparation for college he studied at the Plainfield Academy and attended Yale College in 1806, but left a year later with inflammaiton of the eyes.",1808 in Litchfield County Court,"Prior to attending the Litchfield Law School he read the law with Judge Zephaniah Swift of Windham, CT. After completing his studies at the Litchfield Law School he read the law briefly with Abraham Van Vechten in Albany, NY.",,,"John Paine Cushman was the son of Judge Isaac and Sarah (Paine) Cushman. His older brother Seth who was born in 1782 was a lawyer, so it was first decided that John should remain on the farm. However, Cushman prepared for college at Plainfield Academy with John Adams, a Yale graduate of 1795. He entered Yale with the class of 1806 but an inflammation of the eyes forced him to leave college for a year. After attending the Litchfield Law School, Cushman entered the office of William Bliss of Troy, NY and became close friends with William L. Marcy (Marcy served as U.S. Senator and Governor of New York, and as the U.S. Secretary of War and U.S. Secretary of State). Not long afterwards, Cushman made Troy, NY his permanent home. He married Maria Tallmadge in 1812. She was the oldest daughter of Colonel Benjamin and Maria Tallmadge of Litchfield, CT and a student at the Litchfield Female Academy. They had eight children together. He briefly considered leaving the law to enter the Presyterian Ministry but entered politics instead. Cushman was also involved with academic institutions, acting as a Regent of New York University from 1830 to 1842 as well as a Trustee of Union College from 1833 until his death. Upon his death in 1848, his Litchfield Law School classmate John Allen Collier gave a speech in his memroy at the opening of the U.S. Supreme Court and the court adjourned in his honor. ","Ledger. 'Journals of the Barr - Litchfield County.' Litchfield Historical Society.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany, and Company, 1849), 7.    Litchfield County Bar Association Records, 1808, Litchfield Historical Society, Helga J. Ingraham Memorial Library. ",,"Cushman, Henry Wyles. Genealogy of the Cushmans. Boston, MA: Little, Brown & Co., 1855. ","On February 21, 1824, Cushman's father-in-law Benjamin Tallmadge wrote to him regarding a sexual affair between his female house servant and a Litchfield Law School student.    “I do not remember whether I informed you that our black Girl Mary had gone to N. York, where I presume She may commemorate our law School in due time, by exhibiting a <U>Mongrel Mink</U>.”    Tallmadge Collection ",,,,Federalist,Lawyer;Political Office,Troy/NY/United States,"Federal/U.S. Representative//NY;State/Judge/of Third Circuit Court/NY;State/Judge/of State Supreme Court/NY;Local/Recorder//Troy, NY",Maria Tallmadge Cushman/1812,1808,,Benjamin Tallmadge Collection;Benjamin Tallmadge Letter;Tapping Reeve letter - 1819 Jan 22,
749,Maria Tallmadge Cushman,,Maria Jones Tallmadge,F,,Litchfield,CT,United States,"March 25, 1790",1878,,,,,,"Maria Tallmadge Cushman, daughter of Benjamin and Maria Floyd Tallmadge of Litchfield, Connecticut, was born March 25, 1790. In 1801 and 1802, Benjamin, a 1772 graduate of Yale College, had his daughter study at the Litchfield Female Academy in her hometown. In 1812 Maria wed John Paine Cushman, a lawyer from Troy, New York, who had attended the Litchfield Law School in 1808.     Prior to meeting and marrying John Cushman, Maria was engaged to Virgil Maxcy, a law school student from Attleborough, Massachuseetts who studied in Litchfield in 1805. It is unclear exactly when the engagement was broken but letters between the two indicate that Maria was not as interested in Virgil as he was in her. A letter from Tapping Reeve consoling Maria on her decision indicates that the break may have come in 1807.     While still engaged, Virgil Maxcy's friend and Brown and Litchfield Law School classmate Lemuel Williams wrote to him on December 24, 1808 -- a week before his own wedding to Sarah Smith:    'I dwell with particular delight on the circumstance that the wife of my bosom will be the friend of my dearest Virgil.'     'O! my Virgil! How ardently I wish that we might all meet together, you & your Maria, I and my Sarah, in the bonds of wedded love, to pass our days in each others vicinity; in the constant interchange of friendship. But such a prospect is too, too blissful for realization. But we may, & I trust shall, often meet in <U>the Good Land of Steady Habits</U>, when for a season we can enjoy the flow of love.'    Galloway-Maxcy-Markoe Papers, Library of Congress    Maria's father, Colonel Benjamin Tallmadge was a land speculator, merchant, bank president, and United States Congressman. Maria's maternal grandfather General William Floyd served was a member of the Continental Congress and signer of the Declaration of Independence.","Maria is listed as a fellow student in Maryann Bacon's 1802 Journal (Litchfield Historical Society - Litchfield Female Academy collection).   <br>1802 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",Maria Tallmadge Cushman.jpg,,,,,,,,,,,,1801-1802,"Harriet Beecher Stowe letter - June 27, 1829;Mary Ann Lewis papers;Tapping Reeve letter;Benjamin Tallmadge Collection;Benjamin Tallmadge Letter;Maria Tallmadge Cushman Photograph;Litchfield Female Academy Collection;Leaf by Maria Tallmadge Cushman;Portrait of Mary Floyd Tallmadge",
750,Isaac Cushman,,,M,,,,,"December 31, 1759","June 2, 1842",,,,,,,,,,,,,,,Agriculture;Political Office,,,,,,,
751,Sarah Paine Cushman,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Alfred Cuthbert,,,M,,Savannah,GA,United States,"December 23, 1785","July 18, 1856",Graduated from the College of New jersey (now Princeton University) in 1803.,1805,,,,"Alfred Cuthbert was the son of Colonel Seth John and Mary (Clay) Cuthbert. After attending the Litchfield Law School, Cuthbert was admitted to the bar in 1804 and entered the state politics of Georgia. He died in Monticello, GA.","Ledger. 'Journals of the Barr - Litchfield County.' Litchfield Historical Society.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany, and Company, 1849), 5.    Litchfield County Bar Association Records, 1804, Litchfield Historical Society, Helga J. Ingraham Memorial Library. ",,,,,,,Republican;Democrat,Lawyer;Political Office,/GA/United States,Federal/U.S. Representative//GA;Federal/U.S. Senator//GA;State/State Representative//GA;State/State Senator//GA,"Sarah Jones Cuthbert/July 12, 1834",1804,,,
753,Sarah Jones Cuthbert,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Seth John Cuthbert,,,M,,,,,,,,,,,,,,,,,,,,,Military,,,,,,,
755,Mary Clay Cuthbert,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,John Alfred Cuthbert,,,M,,Savannah,GA,United States,"June 3, 1788","September 22, 1881",Graduated from the College of New Jersey (now Princeton University) in 1805.,Georgia in 1809,,,"Secretary of the GA State Senate in 1830, 1833, and 1834. ","John Alfred Cuthbert was the son of Colonel Seth John and Mary (Clay) Cuthbert. After attending the Litchfield Law School, Cuthbert was admitted to the bar and set up a practice in Eatonton, GA. He later moved to Liberty County, GA where he pursued a poltical career. Cuthbert served for four terms in the GA House of Representatives in 1811, 1813, 1817 and 1832. He also acted as an officer of the militia in the War of 1812. Cuthburt was twice married. His first wife died without children. His second wife was Louisa E. Croft. They went on to have seventeen children. In addition to his state political career, Cuthbert also served in the U.S. Congress. He returned to state politics however and was appointed Secretary of the Georgia Senate. He was a leader in politics but ran for the U.S. Senate again and lost. His loss was in part due to a long standing political feud in Georgia between Robert Clarke and Robert Troup that lasted twenty five years. Cuthbert was appointed by Presdient Monroe in 1822 a commissioner to treaty with the Creek and Cherokee Indians. As a member of the Clarke faction, while the Troup faction held power in GA between 1823 and 1833, Cuthbert could not get elected as a Senator. A new political alignment in 1833 put his brother Albert in the U.S. Senate. In 1830, Cuthbert moved to Mobile, LA where he again practiced as a lawyer. He spent the rest of his life in Mobile and after he retired from the judicial bench his law practice grew. Cuthbert lived to be the last survivor of the 16th Congress and of the Princeton class of 1804. He died on Mon Louis Island, near Mobile, LA. ","Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany, and Company, 1849), 6.",,"Owen, Thomas McAdory. History of Alabama and Dictionary of Alabama Biography, vol. 3. Spartanburg, S.C.: The Reprint Company, 1978.",,,,,Republican,Lawyer;Military;Political Office,Eatonton/GA/United States;Liberty County/GA/United States;Mobile/AL/United States,"Federal/U.S. Representative//GA;State/State Representative//GA;State/State Senator//GA;Local/Judge/of the County Court/Mobile, AL;Local/Judge/of the Circuit Court/Mobile County, AL",--unknown--/;Louisa Croft Cuthbert/1814,1807,,,
757,Louisa Croft Cuthbert,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,George Younglove Cutler,,,M,,Watertown,CT,United States,"April 6, 1797",September 1834,Graduated from Yale College in 1816.,"Litchfield, CT in 1820","In 1820 he went to New Haven, CT to read the law with a Mr. Daggett.",,,"George Younglove Cutler was the son of George Younglove and Dothe (Stone) Cutler. His father was a successful merchant in Watertown, CT and owned a large amount of real estate in Oneida County, NY. After attending the Litchfield Law School, Cutler moved to New Haven, CT to study law with David Daggett (a U.S. Senator, CT State Attorney, Mayor of New Haven, CT, member CT House of Representatives, and Judge of CT State Supreme Court. He was also the uncle of his future wife) Cutler was admitted to the bar in Litchfield in 1820. He married Litchfield Female Academy student Mary Ann Pomeroy Monson. Cutler then practiced law in Watertown and New Haven, CT and also engaged in the book business in New York City. He moved to Venus, IL (now Nauvoo, IL) in 1829. During the time he and his wife lived in Venus Cutler served not only as the Postmaster of Venus, but also the Justice of the Peace, and was appointed a county commissioner of Hancock County. In September of 1834 George Y. Cutler died. He is buried in Nauvoo, IL and Cutler St. was named for him.","Ledger. 'Journals of the Barr - Litchfield County.' Litchfield Historical Society.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 16.",,"Gould, William Tracy, et al. Biographical Sketches of the Members of the Class of 1816, Yale College. T. J. Stafford, 1867.; Bateman, LL D., Newton and Paul Selby, A.M. Historical Encyclopedia of Illinois. Chicago: Musell Publishing Company, Publishers, 1900.",,,,"Culter penned this handwritten poem to 'the lovely girls' of the Litchfield Female Academy (one of whom, Mary Ann 'Monson,' he later married):    Let's fill our cups to Beauty bright,  And toast the lovely girls.  This would have been a dreary night,  But for the charming girls.    And here's to all our noble Selves,  God bless our glorious lives.  Our health to our most noble Selves,  God grant us heavenly wives.    Connecticut demands a bowl,  And claims a foaming can.  Our health to Hannah's noble soul,  And beauteous Mary Ann.    Old Penna too we'll greet,  And Penna toast.  And sure the bumper must be sweet,  When sweet Conard's the toast.    One cup to Georgia's beauty too,  The angel of the South.  The lovely Dick's a picture true,  Of innocence and truth.    And we will fill a sparkling glass,  To Winne's sparkling eyes.  And for the love of this sweet lass,  We'll drain the bumper dry.    And now to Monson's lively mind,  And to her brilliant wit.  We shall roam far e're we shall find,  A Soul so bright and sweet.    And one to the enchanting face,  And the engaging mien.  To beauty, dignity and grace,  United in the Queen.    The female students in the poem are identified as:  Hannah Wolcott (1814-1819)  Mary Ann Patten (1817-1819)  Jane Lowe Conard [married Oliver Stoughton Wolcott in 1820] (1819)  Anna A., i.e., 'Dick' [of Sunbury, Liberty Co., Georgia] (1819)  Maria A. Winne (1819)  Mary Ann Monson AKA Mary Ann Pomeroy Monson; Mary Ann Monson Whitney, and Mary Ann Cutler [married Cutler in 1821] (1820)    Mary Ann Lewis Collection, Folder 8, Litchfield Historical Society N.A., N.D. ca. 1819     Cutler's former classmate James Simon Taylor committed suicide in 1820, reportedly after being rejected romantically by Litchfield Female Academy student Lucretia Swift, and the death was discussed in letters:     In a 'Journal' entry dated October 18, 1820, Cutler mentioned a letter he received from Thomas Tucker Whittlesey (Yale 1817, LLS 1818) which stated, 'Taylor has been refused by Miss Swift of Windham.'     Two months later, on December 29, 1820, Cutler noted, 'Little Taylor, you remember him — he is mentioned in orator Ogilvies book as a rare specimen has killed himself for the love of Miss Swift.'     [All we know of Taylor is that he passed the bar in 1820 and died soon after.']    Emily Noyes Vanderpoel, Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903) pp. 201, 205.     In 1820, Litchfeld Female Academy student Mary Ann Wolcott was romantically attached to Litchfield Law School student Henry Walter Livingston, whose family belonged to the old NY grant, Manor families (considered the closest thing to “aristocracy in the US”). Despite Mary Ann's own distinguished background ( it didn't meet the Livingston family's marital criteria and Henry ultimately ended the relationship. This caused a stir in the community and many students weighed in on the breakup via journal entries and letters.     Upon Henry’s arrival at Litchfield Law School, Cutler wrote that Henry saw Mary Ann (his first glance of her?) and fellow student 'Hannah L' from his window at Tapping Reeve’s house and remarked, “I suppose these young ladies i.e. the ladies of this village -- depend upon law students for their husbands -- I will be very careful they do not ensnare me.”     Within three weeks, Henry was “engaged” to Mary Ann:     In Cutler's “Journal” dated September 2, 1820:   “Engagements are dangerous affairs -- ‘reason’ & love take little company together now-a-days -- love easily takes possession of a man, but an engagement connected with delay is apt to cool it & when the passion is moderated, it is easily ousted by reason -- & too often by something which ought to have less effect than reason.”     Emily Noyes Vanderpoel, Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903) p.197.     Cutler believed “it was probably the interference of friends who have caused the mishap” between Livingston and Mary Ann and that 'avarice' was prejudice against her economic and social standing. “...[T]hat is a very dishonorable reason considering his already monstrous estate... if I was an Emperor I would hang such a man.”     Emily Noyes Vanderpoel, Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903) p.197.     It was also rumored that Livingston rejected Mary Ann as vengeance. Cutler wrote: “Hunt Stone surmises that L. cheated M.A.W. to revenge an insult of that kind once offered to one of his Uncles by one of her Aunts.”     Emily Noyes Vanderpoel, Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903) p.203.     According to Culter, Tapping Reeve said that if gossip of Livingston “disappoint[ing] 6 ladies” prior to Mary Ann was true that “the wretch ought to be prosecuted.” In this period lawsuits could be brought against men who broke engagements. Cutler believed Frederick Wolcott should sue Livingston. He wrote, “M.A.’s feelings may be nice upon the point but her delicacy ought not to prevent his punishment especially since her family is not rich.”     After the “cruel affair,” Culter said Livingston was leaving for France and wrote “It has been reported that L. says ‘he will go to Europe with a light heart.”     Emily Noyes Vanderpoel, Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903) p.198.     In 1823, Livingston married Caroline de Grasse de Pau in France. She was the granddaughter of the fabulously wealthy Comte de Grasse, who had been the commander of the French Fleet during the decisive battle at Yorktown in the American Revolution.     Four years later, in 1827, Mary Ann married Asa Whitehead, a lawyer of Newark, NJ and close friend of her sister Elizabeth’s husband.     George wrote in his “Journal” about some surprisingly licentious behavior in Litchfield:  “Walter S. Franklin, Esq., says there was kissing done at Charlotte Landon’s wedding -- singular for so stiff & prudish a place as L...Miss Mary Ann thought she was near being swallowed at the kissing bout which has been held in L... They say Helen was all but kissed to death at the Landon’s.”    Emily Noyes Vanderpoel, Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903) p.203; 207.",,Lawyer;Political Office,New Haven/CT/United States;Watertown/CT/United States;New York/NY/United States;Venus/IL/United States,"Local/Postmaster//Venus, IL;Local/Commissioner/of the County/Hancock County, IL","Mary Ann Monson Whitney/May 29, 1821",1819,,George Younglove Cutler album;Mary Ann Lewis papers,
759,Mary Ann Monson Whitney,,Mary Ann Monson; Mary Ann Munson; Mary Ann Cutler,F,,New Haven,CT,United States,"March 28, 1803","July 7, 1844",,,,,,"Mary Ann Monson Whitney was born March 28, 1803 in New Haven, Connecticut to Aenas and Mary Shepard Monson. From 1818-1819 Mary Ann attended the Rev. Claus Herrick's female school in her hometown. In 1820 she traveled to Litchfield, Connecticut where she studied briefly at Sarah Pierce's Female Academy. On May 29, 1821 Mary Ann married George Younglove Cutler, with whom she had three children. George had been a student at the Litchfield Law School in 1819, and after completing his education in Litchfield had relocated to New Haven where he studied law with Judge Daggett (the uncle of Mary Ann). After being admitted to the bar George practiced law in New Haven and Watertown. In 1829 George moved his family to Venus, Illionis (now Nauvoo) where they settled. After George's death in 1834 Mary Ann married Daniel Green Whitney, a businessman from Quincy, Illinois. Mary Ann passed away on July 7, 1844.","George Younglove Cutler Journal, 1820 (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1820 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,"Munson, Myron A. 1637 - 1887. <I>The Munson Record. Vol. II</I>. New Haven, CT: Printed for the Munson Association, 1895.","Mary Ann was named in a poem handwritten by Litchfield Law School student (and her future husband) George Younglove Cutler to 'the lovely girls' of the Litchfield Female Academy:    Let's fill our cups to Beauty bright,  And toast the lovely girls.  This would have been a dreary night,  But for the charming girls.    And here's to all our noble Selves,  God bless our glorious lives.  Our health to our most noble Selves,  God grant us heavenly wives.    Connecticut demands a bowl,  And claims a foaming can.  Our health to Hannah's noble soul,  And beauteous Mary Ann.    Old Penna too we'll greet,  And Penna toast.  And sure the bumper must be sweet,  When sweet Conard's the toast.    One cup to Georgia's beauty too,  The angel of the South.  The lovely Dick's a picture true,  Of innocence and truth.    And we will fill a sparkling glass,  To Winne's sparkling eyes.  And for the love of this sweet lass,  We'll drain the bumper dry.    And now to Monson's lively mind,  And to her brilliant wit.  We shall roam far e're we shall find,  A Soul so bright and sweet.    And one to the enchanting face,  And the engaging mien.  To beauty, dignity and grace,  United in the Queen.    The female students in the poem are identified as:  Hannah Wolcott (1814-1819)  Mary Ann Patten (1817-1819)  Jane Lowe Conard [married Oliver Stoughton Wolcott in 1820] (1819)  Anna A., i.e., 'Dick' [of Sunbury, Liberty Co., Georgia] (1819)  Maria A. Winne (1819)  Mary Ann Monson AKA Mary Ann Pomeroy Monson; Mary Ann Monson Whitney, and Mary Ann Cutler [married Cutler in 1821] (1820)",,,"George Younglove Cutler Journal, 22 July 1820 - 'Miss M. you were becomingly dressed last night because there was less fix about you than common. I like richness of dress but hate ribbons & bows & knots & ruffles & rigmaroles generally speaking I dislike ornaments of any kind. To see ladies loaded with as many foolish kickshaws as are put on now-a-days looks more like burlesque than reality.' (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,Venus/IL/United States;Quincy/IL/United States,,"Daniel Green Whitney/August 13, 1838",,1820,,
760,Younglove Cutler,,,M,,,,,"October 18, 1750","April 28, 1816",,,,,,,,,,,,,,,Business,,,Dothe Stone Cutler/,,,,
761,Dothe Cutler,,Dothee Stone Cutler,F,,Watertown,CT,United States,"December 23, 1805",1826,,,,,,"Dothe Cutler was born on December 23, 1805 to Younglove Cutler and Dothe Stone Cutler of Watertown, Connecticut. Dothe attended the Litchfield Female Academy in 1819 and in 1821. She died of consumption, unmarried, in 1826.","1819 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioner School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).   <br>1821 Litchfield Female Academy Catalog Summer Session (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,"1819,1821",,
762,Francis Brockholst Cutting,,,M,,New York,NY,United States,"August 6, 1804","June 26, 1870",Graduated from Columbia College.,New York in 1827,,,,"Francis Brockholst Cutting was a famous jurist born in New York City on Agust 6, 1805. Information on his formative studies vary, but he did attend Litchfield Law School and was admitted to the bar in 1827. He opted to use his legal skills in politics and he quickly distinguished himself in New York. In 1836 he was elected a member of the NY state legislature, as a Democrat. From 1840 - 1853 he devoted himself to his large and lucrative practice in New York City, and from 1853 - 1855 he represented one of its districts in congress, where he was a War Democrat. Upon the nomination of Pres. Abraham Lincoln, he aided in his election campaign, and thereafter was active in supporting the cause of the Union. After the Civil War Mr. Cutting retired from politics and quietly pursued a legal career in New York City. He died there June 26, 1870 and was buried at the Greenwood Cemetery in Brooklyn, NY.","Litchfield Eagle, October 6, 1823; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 19. ",,"Biographical Directory of the American Congress, 1774-1927. U.S. Government Printing Office, 1928.",,,,,Democrat,Lawyer;Political Office,New York/NY/United States,"Federal/U.S. Representative//NY;State/State Representative//NY;Local/Recorder//New York, NY;Local/Alderman//New York, NY","Anne Hayward Cutting/June 21, 1827",1823,,"Sketch of Francis B. Cutting and Daniel Webster, New York, 1844 - 1844",
763,Anne Hayward Cutting,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,William Cutting,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Gertrude Livingston Cutting,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Daniel Dunbar,,,M,,Plymouth,CT,United States,"March 28, 1774","December 11, 1841",Graduated from Yale College in 1794.,Connecticut,,,,"Daniel Dunbar was the son of Aaron and Mary Potter Dunbar. After graduating from Yale, Daniel worked at Williams College as a tutor for several years after graduation. After leaving his position as a tutor, he attended the Litchfield Law School. He was admitted to the bar in Connecticut. He worked as a lawyer most of his life in Berlin, CT. He died in Hartford, CT. ","'Moothall Society Record Books.' Litchfield Law School Collection, Series 1, Subseries 3: Other Papers, Litchfield Historical Society.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany, and Company, 1849), 3.",,"Dexter, Franlkin Bowditch. Biographical Sketches of the Graduates of Yale College with Annals of College History, Vol. 5. New York: Henry Holt and Company, 1911. ",,,,,,Lawyer,Berlin/CT/United States,,Catharine Goodrich Dunbar/,1798,,,
767,M. Goodrich Dunbar,,,F,,Ridgefield,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
768,Aaron Dunbar,,,M,,,,,,,,,,,,,,,,,,,,,,,,Mary Potter Dunbar/,,,,
769,Mary Potter Dunbar,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,John Sanford Dart,,,M,,Charleston,SC,United States,"November 4, 1800","April 9, 1823",Graduated from Harvard College in 1820.,,,,,"John Sanford Dart was the son of Issac Motte and Arabella Rhind Dart. He died while attending the Litchfield Law School and is buried in the East St. Cemetery in Litchfield, CT. ","Litchfield Eagle, October 7, 1822; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 17.",,,,,,,,,,,,1821,,,
771,Issac Motte Dart,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Arabella Rhind Dart,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Francis Hathorn Davidge,,,M,,,MD,United States,1796,"September 19, 1861",Graduated from Cambridge University in England.,,,,,"Francis Hathorn Davidge was the son of Dr. John Beal and Wihelmina (Stewart) Davidge. His father was a prominent doctor who was one of the three founders of the College of Medicine of Maryland and chartered the first medical department at the University of Maryland. After studying in England, Davidge returned to the United States to attend the Litchfield Law School. He never practiced law and spent his life pursuing literature and journalism. While in Baltimore he worked as the Editor of the Baltimore American newspaper. ","Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 13.",,,,,,,,Editor;Journalist,Baltimore/MD/United States;Washington/District of Columbia/United States,,Anna Maria Dorsey Davidge/,1815,,,
774,Anna Maria Dorsey Davidge,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,John Beal Davidge,,,M,,,,,1768,"August 23, 1829",,,,,,,,,,,,,,,Doctor,,,,,,,
776,Wilhemina Stewart Davidge,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Henry Davies,,,M,,,MD,United States,,,,,,,,Henry Davies attended Litchfield Law School in 1809 and was a registered student from Maryland.,"Ledger. 'Journals of the Barr - Litchfield County.' Litchfield Historical Society.; Catalogue of Litchfield Law School (Hartford, Connecticut: Press of Tiffany, Case and Company, 1849), 7. ",,,,,,,,,,,,1809,,,
778,John H. Davis,John H. Davis (attended: 1817-1818),,M,,,NY,United States,,,,,,,,The only information known about this student is that he was from New York and is named on the Josiah Houghton list as having attended the Litchfield Law School from 1817 to 1818.,"Houghton, Josiah. 'LLS Law Notebook 1817-1818.' Litchfield Law School Collection, Series 1, Subseries 1, Litchfield Historical Society.",,,,,,,,,,,,1817-1818,,,
779,Israel Woodberry Davis,,,M,,Beverly,MA,United States,"December 21, 1788","October 7, 1814",Attended Exeter in 1804.,,,,,"Israel Woodberry Davis was the son of Thomas and Hannah (Woodberry) Davis. After attending the Litchfield Law School, Davis worked briefly as a mercahnt in Beverly and died there. ","Baldwin, Roger Sherman. 'Notes on law taken from the lectures of the Honble. Tapping Reeve and James Gould, esquire … at the Litchfield Law School, 1812-1813.' Rare Book Collection, Lillian Goldman Law Library, Yale University.; Catalogue of Litchfield La",,,,,,,,Business,Beverly/MA/United States,,,1811,,,
780,Thomas Davis,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Hannah Woodberry Davis,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
